,TF-IDF Their Movies Only,TF-IDF MCU Contribution
Tony Stark,0.22472190688175703,0.08793465921460057
Thor,0.20062952380952898,0.06978418219461878
Scott Lang,0.3845966286493295,0.06688637019988339
Steve Rogers,0.15122871072330854,0.05917645202216421
Captain Marvel,1.267180428714586,0.055094801248460265
Doctor Strange,0.4100145710554392,0.053480161442013806
Star Lord,0.4080162436890366,0.05321951004639608
Bruce Banner,0.13539584380843905,0.04709420654206576
Gamora,0.25278866341893835,0.04396324581198928
Peter Parker,0.33572621472418634,0.04379037583358952
Hope van Dyne,0.29098222620527575,0.037954203418079445
Hank Pym,0.2759994485466571,0.035999928071303096
Jane Foster,0.27044197498821326,0.035275040215853905
Loki,0.16121404472893602,0.035046531462812176
Black Panther,0.2599240686859367,0.03390313939381783
Rocket,0.16787678687612329,0.029195962934977962
Black Widow,0.08155370450005228,0.028366505913061665
Pepper Potts,0.08748316541784988,0.026625311214128228
Obadiah Stane,0.5397058251895472,0.023465470660415096
Drax,0.17540406788530283,0.02287879146330037
Ivan Vanko,0.5172510557031053,0.02248917633491762
Killmonger,0.5132514521434518,0.022315280527976166
Hawkeye,0.09726755217662644,0.021145120038397053
Vulture,0.44157749333690227,0.019199021449430535
James Rhodes,0.054415272581004995,0.018927051332523478
Thanos,0.10343620259025778,0.0179889047983057
The Ancient One,0.2030262157769891,0.01765445354582514
Nakia,0.3863803066697895,0.016799143768251718
Ego,0.3863803066697895,0.016799143768251718
Nebula,0.09572409243180267,0.01664766824900916
Nick Fury,0.04758280774165433,0.016550541823184117
Ultron,0.37267887735525795,0.016203429450228606
Talos,0.34554336368842964,0.015023624508192593
Falcon,0.05341113705283059,0.013933340100738415
Vision,0.10676773292336206,0.013926226033482007
Bucky,0.06120756004087946,0.013305991313234665
Erik Selvig,0.15138242472808222,0.013163689106789759
Hela,0.2972156205152227,0.012922418283270553
Valkyrie,0.14632715150146028,0.012724100130561763
Yondu,0.2865132219336289,0.012457096605809952
Red Skull,0.1362273980052448,0.011845860696108244
Scarlett Witch,0.06389597716051142,0.011112343854001986
Odin,0.12619279680207618,0.010973286678441408
Mantis,0.08209914980820161,0.010708584757591514
Okoye,0.08187170359786199,0.010678917860590694
Peggy Carter,0.060686643090947755,0.010554198798425696
Shuri,0.07979589140057806,0.010408159747901487
Alexander Pierce,0.11736935598037605,0.01020603095481531
Zemo,0.22078874666845114,0.009599510724715267
Maya Hansen,0.2080509343606559,0.009045692798289387
Arnim Zola,0.09960422430000349,0.008661236895652477
Groot,0.09302769730372544,0.008089364982932647
Ronan,0.09141341331747466,0.007948992462389101
Mandarin,0.17832937230913362,0.007753450969962331
Heimdall,0.03499490402606632,0.007607587831753549
Quicksilver,0.08723569512338149,0.0075857126194244775
Happy,0.035712372856206154,0.006210847453253244
The Grandmaster,0.130774873026698,0.005685864044639043
Rumlow,0.04343873080450861,0.005665921409283731
Maria Hill,0.025473734248200312,0.004430214651860924
M'Baku,0.04412402293268026,0.0038368715593635008
Phil Coulson,0.038610339009276524,0.00335742078341535
Cassie,0.07663192941116177,0.003331823017876599
The Collector,0.024477289064012326,0.0031926898779146514
Korg,0.05994738181995927,0.00260640790521562
Wong,0.02752898847260514,0.00239382508457436
Sharon Carter,0.04407895722055829,0.0019164764008938386
Miek,0.017146021234522985,0.00149095836821939
Frigga,0.03027172902153628,0.0013161621313711425
Everett Ross,0.026284374603387044,0.0011427988957994368
T'Chaka,0.024468319110187455,0.0010638399613124982
Howard Stark,0.01763814929671685,0.0007668760563789935
Aunt May,0.002751975365594207,0.00011965110285192204
